sigla_tribunal,id_orgao_julgador,servidores
TJAM,5084,1.00
TJAM,5085,3.00
TJAM,5086,6.00
TJAM,5087,6.00
TJAM,5088,4.00
TJAM,5089,5.00
TJAM,5090,3.00
TJAM,5091,2.00
TJAM,5092,5.00
TJAM,5093,1.00
TJAM,5094,1.00
TJAM,5095,5.00
TJAM,5096,6.00
TJAM,5097,5.00
TJAM,5098,6.00
TJAM,5099,5.00
TJAM,5100,4.00
TJAM,5101,3.00
TJAM,5102,4.00
TJAM,5103,1.00
TJAM,5104,5.00
TJAM,5105,3.00
TJAM,5106,6.00
TJAM,5107,3.00
TJAM,5108,4.00
TJAM,5109,5.00
TJAM,5110,6.00
TJAM,5111,4.00
TJAM,5112,4.00
TJAM,5113,4.00
TJAM,5114,3.00
TJAM,5115,7.00
TJAM,5116,4.00
TJAM,5117,4.00
TJAM,5118,5.00
TJAM,5119,5.00
TJAM,5120,3.00
TJAM,11677,0.00
TJAM,11738,0.00
TJAM,11739,5.00
TJAM,11853,0.00
TJAM,13092,3.00
TJAM,13094,4.00
TJAM,14166,9.00
TJAM,16971,1.00
TJAM,17057,4.00
TJAM,17058,7.00
TJAM,17059,8.00
TJAM,17063,5.00
TJAM,17900,4.00
TJAM,72088,5.00
TJAM,72089,5.00
TJAM,72090,5.00
TJAM,72091,2.00
TJAM,72092,5.00
TJAM,72093,6.00
TJAM,72094,10.00
TJAM,72095,8.00
TJAM,72096,7.00
TJAM,72097,6.00
TJAM,72098,10.00
TJAM,72099,113.00
TJAM,72100,9.00
TJAM,72101,10.00
TJAM,72102,6.00
TJAM,72103,6.00
TJAM,72107,1.00
TJAM,72108,5.00
TJAM,72109,4.00
TJAM,72110,2.00
TJAM,72111,2.00
TJAM,72112,2.00
TJAM,72113,0.00
TJAM,72114,4.00
TJAM,72115,0.00
TJAM,72116,6.00
TJAM,72117,5.00
TJAM,72118,0.00
TJAM,72119,5.00
TJAM,72120,1.00
TJAM,72121,4.00
TJAM,72122,2.00
TJAM,72123,2.00
TJAM,72124,5.00
TJAM,72125,2.00
TJAM,72126,6.00
TJAM,72127,11.00
TJAM,72128,3.00
TJAM,72129,5.00
TJAM,72130,3.00
TJAM,72131,3.00
TJAM,72132,3.00
TJAM,72275,0.00
TJAM,72276,0.00
TJAM,72277,11.00
TJAM,72947,6.00
TJAM,74323,1.00
TJAM,74324,0.00
TJAM,74447,0.00
TJAM,74448,6.00
TJAM,74449,4.00
TJAM,74450,1.00
TJAM,75420,3.00
TJAM,75553,7.00
TJAM,75554,6.00
TJAM,75555,5.00
TJAM,75556,4.00
TJAM,75557,2.00
TJAM,76518,9.00
TJAM,76519,10.00
TJAM,76532,7.00
TJAM,76533,2.00
TJAM,78455,2.00
TJAM,78456,4.00
TJAM,78625,9.00
TJAM,78630,5.00
TJAM,78645,1.00
TJAM,78721,11.00
TJAM,78756,9.00
TJAM,78763,0.00
TJAM,79660,0.00
TJAM,79661,0.00
TJAM,79662,0.00
TJAM,79981,0.00
TJAM,79982,0.00
TJAM,79983,0.00
TJAM,79984,0.00
TJAM,79985,0.00
TJAM,79986,0.00
TJAM,79987,0.00
TJAM,79988,0.00
TJAM,79989,0.00
TJAM,79990,0.00
TJAM,79991,0.00
TJAM,79992,0.00
TJAM,79993,0.00
TJAM,79994,0.00
TJAM,79995,0.00
TJAM,79996,0.00
TJAM,79997,0.00
TJAM,79998,0.00
TJAM,80020,0.00
TJAM,80067,0.00
TJAM,80068,0.00
TJAM,80069,0.00
TJAM,80070,0.00
TJAM,80074,0.00
TJAM,80075,0.00
TJAM,80226,0.00
TJAM,80310,0.00
TJAM,80311,0.00
TJAM,80312,0.00
TJAM,80313,0.00
TJAM,80314,0.00
TJAM,80402,0.00
TJAM,80403,0.00
TJAM,81189,0.00
TJAM,81206,2.00
TJAM,81207,5.00
TJAM,81300,0.00
TJAM,81372,0.00
TJAM,81496,0.00
TJAM,81497,0.00
TJAM,81545,0.00
TJAM,81637,0.00
TJAM,81654,0.00
TJAM,81655,0.00
TJAM,81656,0.00
TJAM,81657,0.00
TJAM,82068,0.00
TJAM,82071,0.00
TJAM,82072,0.00
TJAM,82347,0.00
TJAM,82348,0.00
TJAM,82359,0.00
TJAM,82360,0.00
TJAM,82463,0.00
TJAM,82464,0.00
TJAM,82499,0.00
TJAM,82711,0.00
TJAM,82889,2.00
TJAM,83034,0.00
TJAM,83128,2.00
TJAM,83129,5.00
TJAM,83252,0.00
TJAM,83257,0.00
TJAM,83258,0.00
TJAM,83259,0.00
TJAM,83391,0.00
TJAM,83392,0.00
TJAM,83393,0.00
TJAM,83394,0.00
TJAM,83406,0.00
TJAM,83409,0.00
TJAM,83448,0.00
TJAM,83674,2.00
TJAM,83675,4.00
TJAM,83676,0.00
TJAM,83701,0.00
TJAP,6147,10.00
TJAP,6151,8.00
TJAP,6155,11.00
TJAP,6157,7.00
TJAP,6160,7.00
TJAP,6162,7.00
TJAP,6164,7.00
